gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s,,,,,?x_gt,?y_gt,STDDEV GT
16.015086,-29.419101,14.280135,-28.70713,15.09428,-28.67581,0.361889315,0.371088882,0.278977136,,,,,0.271542,-0.063978,0.278977136
16.364318,-29.324228,14.627504,-28.837674,15.365822,-28.739788,0.809657238,0.363245467,0.282380677,,,,,0.275907,-0.060118,0.282380677
16.39585,-28.515185,14.97886,-28.929849,15.641729,-28.799906,1.025728386,0.294867816,0.284643038,,,,,0.278548,-0.058589,0.284643038
16.317963,-29.537952,15.265731,-28.861643,15.920277,-28.858495,0.910207626,0.270841644,0.285806135,,,,,0.279449,-0.059945,0.285806135
17.027743,-28.968136,15.505987,-28.986672,16.199726,-28.91844,1.048343857,0.315339586,0.286313474,,,,,0.279447,-0.062328,0.286313474
16.962923,-30.014474,15.821318,-28.988999,16.479173,-28.980768,0.578913331,0.311277539,0.286681957,,,,,0.279651,-0.063102,0.286681957
17.242805,-29.507713,16.070064,-29.176133,16.758824,-29.04387,0.692885277,0.252868642,0.287494873,,,,,0.28096,-0.060949,0.287494873
17.371408,-28.826867,16.314487,-29.24094,17.039784,-29.104819,2.437572366,0.249519357,0.289450776,,,,,0.283804,-0.056895,0.289450776
19.128225,-30.516646,16.555467,-29.176221,17.323588,-29.161714,0.987665351,0.558274911,0.292866109,,,,,0.287941,-0.053484,0.292866109
18.753643,-29.602769,17.057808,-29.419787,17.611529,-29.215198,0.731748538,0.353543932,0.297217774,,,,,0.292513,-0.052674,0.297217774
18.039474,-29.762201,17.408917,-29.461209,17.904042,-29.267872,0.591382539,0.17405159,0.301394758,,,,,0.296463,-0.0543,0.301394758
18.620878,-29.654022,17.571572,-29.523155,18.200505,-29.322172,1.001881771,0.236705778,0.304317165,,,,,0.299079,-0.05622,0.304317165
19.418669,-30.260072,17.806152,-29.554807,18.499584,-29.378392,0.104523227,0.359562745,0.305467015,,,,,0.300282,-0.056043,0.305467015
19.460221,-30.164163,18.140106,-29.688074,18.799866,-29.434435,0.541389617,0.298246722,0.305224579,,,,,0.300567,-0.053118,0.305224579
19.17065,-30.621603,18.423181,-29.781987,19.100433,-29.487553,1.548639491,0.241177659,0.304681066,,,,,0.300718,-0.048982,0.304681066
20.600796,-31.215713,18.604382,-29.94115,19.401151,-29.536535,1.177384245,0.466931618,0.30508428,,,,,0.301585,-0.046075,0.30508428
20.116545,-30.142524,19.005947,-30.179416,19.702736,-29.58261,0.826000112,0.246558558,0.307206612,,,,,0.303769,-0.045829,0.307206612
20.761358,-29.626295,19.252378,-30.187346,20.006505,-29.628439,0.437087913,0.328389801,0.310905619,,,,,0.307258,-0.047485,0.310905619
20.660221,-30.051521,19.568998,-30.100216,20.313763,-29.675924,1.377186198,0.242841946,0.315178085,,,,,0.311381,-0.048776,0.315178085
21.396906,-31.215109,19.811839,-30.100894,20.625144,-29.7247,0.296911019,0.391223711,0.382785626,,,,,0.378519,-0.056993,0.382785626
21.684129,-31.139882,20.143905,-30.307747,21.003663,-29.781693,2.087225975,0.358229683,0.256756576,,,,,0.254327,-0.035238,0.256756576
21.724423,-29.053045,20.465068,-30.466438,21.25799,-29.816931,1.325759965,0.36333537,0.321384641,,,,,0.318804,-0.040646,0.321384641
21.856785,-30.372181,20.738747,-30.227456,21.576794,-29.857577,0.66370047,0.250201199,0.311777811,,,,,0.308653,-0.044031,0.311777811
22.229822,-30.921127,20.986993,-30.258674,21.885447,-29.901608,1.037728495,0.296551684,0.370087693,,,,,0.366847,-0.048869,0.370087693
23.153099,-30.447376,21.2566,-30.382185,22.252294,-29.950477,0.542686338,0.386058448,0.300340672,,,,,0.296972,-0.044857,0.300340672
22.773957,-30.835654,21.642212,-30.400746,22.549266,-29.995334,1.926103383,0.264930348,0.295301223,,,,,0.291191,-0.049098,0.295301223
22.902145,-28.913821,21.893844,-30.483628,22.840457,-30.044432,2.344930426,0.356108412,0.299358592,,,,,0.296023,-0.044564,0.299358592
23.448348,-31.194251,22.122499,-30.210626,23.13648,-30.088996,1.345261515,0.333267679,0.235866249,,,,,0.23287,-0.037476,0.235866249
24.125616,-30.03191,22.406557,-30.38492,23.36935,-30.126472,1.343661014,0.348859544,0.295791859,,,,,0.292668,-0.042875,0.295791859
25.464271,-30.147788,22.750066,-30.324055,23.662018,-30.169347,0.271217104,0.542088837,0.290969117,,,,,0.287651,-0.043817,0.290969117
25.375025,-30.403901,23.291212,-30.292097,23.949669,-30.213164,0.521931992,0.413378381,0.340775477,,,,,0.336169,-0.055842,0.340775477
24.919777,-30.65917,23.704201,-30.310035,24.285838,-30.269006,0.460742439,0.288101218,0.22134033,,,,,0.217758,-0.039661,0.22134033
25.366442,-30.772192,23.986233,-30.368859,24.503596,-30.308667,0.846414544,0.308329087,0.270313828,,,,,0.265394,-0.051338,0.270313828
